N,NNF nodes,POG nodes,Unhinted Asserts,Just clauses,Tot clauses,D4 secs,Gen secs,Hint secs,Check secs
3,35,15,32,32,126,7.1e-05,0.0,0.1,0.0
4,112,51,148,156,520,0.0003,0.01,0.1,0.01
5,316,192,747,781,2490,0.000995,0.05,0.15,0.05
6,717,528,2129,2199,6961,0.002859,0.14,0.3,0.15
7,2426,1818,10361,10930,30984,0.013111,0.83,1.72,0.98
8,11038,8445,74915,80857,189843,0.095044,6.77,23.5,9.11
9,19768,15837,106881,111401,303047,0.126169,11.56,57.13,18.44
10,41078,30642,215408,224431,618569,0.258119,26.28,193.84,47.55
11,158385,119514,1294138,1362168,3095267,4.420539,155.49,5684.6,493.23
12,258274,176049,1792612,1919696,4643488,2.494031,277.57,11152.32,989.39
